COMID, Height(ft), Flowrate(ft^3/s)
18230185,2.747979,35.314667
18230185,2.748056,35.316998
18230185,2.758716,35.588074
18230185,2.771214,35.881081
18230185,2.796486,36.552094
18230185,2.986459,42.041050
18230185,3.190160,48.383884
18230185,3.367366,54.221714
18230185,3.541483,60.335247
18230185,3.707615,66.511612
18230185,3.862687,72.553520
18230185,4.011437,78.604759
18230185,4.154823,84.668747
18230185,4.291483,90.629295
18230185,4.427526,96.755623
18230185,4.577355,103.647659
18230185,4.738113,111.289261
18230185,4.887123,118.455490
18230185,5.042976,126.149750
18230185,5.190377,133.461395
18230185,5.338314,140.891708
18230185,5.480469,148.036331
18230185,5.629344,155.689255
18230185,5.771506,163.010590
18230185,5.914147,170.483109
18230185,6.053967,177.917130
18230185,6.190715,185.312622
18230185,6.320859,192.442368
18230185,6.452871,199.902802
18230185,6.583769,207.507812
18230185,6.705715,214.650497
18230185,6.830446,222.239746
18230185,6.948796,229.516754
18230185,7.064764,236.792145
18230185,7.182166,244.388123
18230185,7.292352,251.583389
18230185,7.404649,259.154236
18230185,7.511821,266.483459
18230185,7.617795,273.929871
18230185,7.721703,281.370544
18230185,7.823054,288.791473
18230185,7.920338,296.034607
18230185,8.019377,303.637451
18230185,8.112586,310.899445
18230185,8.204330,318.208160
18230185,8.294187,325.545837
18230185,8.385817,333.210938
18230185,8.471706,340.514374
18230185,8.557880,348.017731
18230185,8.640007,355.280731
18230185,8.723301,362.825348
18230185,8.803097,370.188110
18230185,8.880322,377.451263
18230185,8.956824,384.753662
18230185,9.032638,392.134399
18230185,9.108648,399.683289
18230185,9.182818,407.173523
18230185,9.254068,414.439850
18230185,9.325519,421.898682
18230185,9.396044,429.348297
18230185,9.463367,436.541901
18230185,9.533265,444.143402
18230185,9.599396,451.438690
18230185,9.664743,458.791901
18230185,9.731565,466.241516
18230185,9.793507,473.398743
18230185,9.860826,481.101227
18230185,9.923586,488.518738
18230185,9.983570,495.655823
18230185,10.047599,503.247406
18230185,10.108386,510.667023
18230185,10.170033,518.113464
18230185,10.228898,525.446228
18230185,10.286480,532.677246
18230185,10.347539,540.263184
18230185,10.405255,547.648560
18230185,10.465416,555.263489
18230185,10.520338,562.393799
18230185,10.576138,569.748108
