configuration,comid,date,discharge
short_range,18229017,2016-07-13 01:00:00,2.9252
short_range,18229017,2016-07-13 02:00:00,0.7624
short_range,18229017,2016-07-13 03:00:00,0.7395
short_range,18229017,2016-07-13 04:00:00,0.7389
short_range,18229017,2016-07-13 05:00:00,0.7385
short_range,18229017,2016-07-13 06:00:00,0.7381
short_range,18229017,2016-07-13 07:00:00,0.7378
short_range,18229017,2016-07-13 08:00:00,0.7375
short_range,18229017,2016-07-13 09:00:00,0.7374
short_range,18229017,2016-07-13 10:00:00,0.7374
short_range,18229017,2016-07-13 11:00:00,0.7374
short_range,18229017,2016-07-13 12:00:00,0.7376
short_range,18229017,2016-07-13 13:00:00,0.7378
short_range,18229017,2016-07-13 14:00:00,0.7381
short_range,18229017,2016-07-13 15:00:00,0.7384
short_range,18229011,2016-07-13 01:00:00,0.0764
short_range,18229011,2016-07-13 02:00:00,0.0597
short_range,18229011,2016-07-13 03:00:00,0.0515
short_range,18229011,2016-07-13 04:00:00,0.0478
short_range,18229011,2016-07-13 05:00:00,0.0461
short_range,18229011,2016-07-13 06:00:00,0.0453
short_range,18229011,2016-07-13 07:00:00,0.0449
short_range,18229011,2016-07-13 08:00:00,0.0447
short_range,18229011,2016-07-13 09:00:00,0.0446
short_range,18229011,2016-07-13 10:00:00,0.0446
short_range,18229011,2016-07-13 11:00:00,0.0446
short_range,18229011,2016-07-13 12:00:00,0.0445
short_range,18229011,2016-07-13 13:00:00,0.0445
short_range,18229011,2016-07-13 14:00:00,0.0445
short_range,18229011,2016-07-13 15:00:00,0.0444
short_range,18229027,2016-07-13 01:00:00,0.1951
short_range,18229027,2016-07-13 02:00:00,0.1076
short_range,18229027,2016-07-13 03:00:00,0.0948
short_range,18229027,2016-07-13 04:00:00,0.0948
short_range,18229027,2016-07-13 05:00:00,0.0947
short_range,18229027,2016-07-13 06:00:00,0.0946
short_range,18229027,2016-07-13 07:00:00,0.0946
short_range,18229027,2016-07-13 08:00:00,0.0945
short_range,18229027,2016-07-13 09:00:00,0.0945
short_range,18229027,2016-07-13 10:00:00,0.0945
short_range,18229027,2016-07-13 11:00:00,0.0944
short_range,18229027,2016-07-13 12:00:00,0.0944
short_range,18229027,2016-07-13 13:00:00,0.0944
short_range,18229027,2016-07-13 14:00:00,0.0943
short_range,18229027,2016-07-13 15:00:00,0.0943
short_range,18228909,2016-07-13 01:00:00,0.0859
short_range,18228909,2016-07-13 02:00:00,0.0727
short_range,18228909,2016-07-13 03:00:00,0.0727
short_range,18228909,2016-07-13 04:00:00,0.0727
short_range,18228909,2016-07-13 05:00:00,0.0726
short_range,18228909,2016-07-13 06:00:00,0.0726
short_range,18228909,2016-07-13 07:00:00,0.0725
short_range,18228909,2016-07-13 08:00:00,0.0724
short_range,18228909,2016-07-13 09:00:00,0.0724
short_range,18228909,2016-07-13 10:00:00,0.0723
short_range,18228909,2016-07-13 11:00:00,0.0722
short_range,18228909,2016-07-13 12:00:00,0.0722
short_range,18228909,2016-07-13 13:00:00,0.0721
short_range,18228909,2016-07-13 14:00:00,0.072
short_range,18228909,2016-07-13 15:00:00,0.072
short_range,18229013,2016-07-13 01:00:00,0.0195
short_range,18229013,2016-07-13 02:00:00,0.0148
short_range,18229013,2016-07-13 03:00:00,0.0126
short_range,18229013,2016-07-13 04:00:00,0.0116
short_range,18229013,2016-07-13 05:00:00,0.0111
short_range,18229013,2016-07-13 06:00:00,0.0109
short_range,18229013,2016-07-13 07:00:00,0.0108
short_range,18229013,2016-07-13 08:00:00,0.0108
short_range,18229013,2016-07-13 09:00:00,0.0107
short_range,18229013,2016-07-13 10:00:00,0.0107
short_range,18229013,2016-07-13 11:00:00,0.0107
short_range,18229013,2016-07-13 12:00:00,0.0107
