COMID,Discharge,StageHeight
1.822901700000000000e+07,7.520999999999999908e-01,2.245398798423957898e-01
1.822901100000000000e+07,4.619999999999999801e-02,8.623402309572991004e-03
1.822902700000000000e+07,9.679999999999999716e-02,1.789839956708905860e-02
1.822890900000000000e+07,7.400000000000001021e-02,3.042624774601030563e-02
1.822901300000000000e+07,1.119999999999999989e-02,nan
1.822899700000000000e+07,1.225899999999999990e+00,1.158825397951213088e-01
1.822898500000000000e+07,6.799999999999999621e-03,9.612091003745191131e-04
1.822903100000000000e+07,3.963999999999999746e-01,1.270942313976922144e-01
1.822879100000000000e+07,5.955799999999999983e+00,2.942170978502680057e-01
1.823014900000000000e+07,6.539999999999999980e-02,1.893851084866545950e-02
1.822904900000000000e+07,1.199999999999999895e-03,6.550355359770218718e-04
1.823014700000000000e+07,5.100000000000000366e-03,nan
1.822895100000000000e+07,1.291600000000000081e+00,1.148172614480551385e-01
1.822898100000000000e+07,9.260000000000000175e-02,1.674283846367012607e-02
1.822880300000000000e+07,8.712999999999999634e-01,1.942379953939497028e-01
1.823014300000000000e+07,3.899999999999999821e-03,1.144779651050267799e-03
1.822904300000000000e+07,1.540000000000000049e-02,2.478358648988001744e-03
1.822891100000000000e+07,7.689999999999999614e-02,2.259881767519738779e-02
1.822892500000000000e+07,8.359999999999999376e-02,1.518024260476225767e-02
1.822900500000000000e+07,1.269999999999999948e-02,6.919425878761127982e-03
1.822901500000000000e+07,2.631000000000000005e-01,7.622738671303887215e-02
1.822892900000000000e+07,1.294799999999999951e+00,9.472367986070320822e-02
1.822891900000000000e+07,5.387999999999999456e-01,8.540763943816680193e-02
1.822895300000000000e+07,3.000000000000000062e-03,4.496541931062231386e-04
1.822896300000000000e+07,2.697999999999999843e-01,1.831829633130765966e-01
1.822900300000000000e+07,8.300000000000000086e-03,8.764493241408601596e-04
1.822890500000000000e+07,1.015800000000000036e+00,1.565619577013624142e-01
1.822902900000000000e+07,1.389999999999999916e-02,4.457473121247274364e-03
1.822900100000000000e+07,4.499999999999999660e-03,9.179790931856243383e-04
1.823015100000000000e+07,1.000000000000000021e-03,5.342253587910332762e-04
1.823014500000000000e+07,5.999999999999999474e-04,2.309697714917073553e-04
1.822897100000000000e+07,3.429999999999999716e-02,1.117916485781984999e-02
1.822890300000000000e+07,2.607999999999999763e-01,5.462092000145061382e-02
1.822896100000000000e+07,1.290000000000000001e-02,2.710198255534466451e-03
1.822996700000000000e+07,9.900000000000000813e-03,3.151608661941535192e-03
1.822904700000000000e+07,1.329999999999999932e-02,2.646614585416562273e-03
1.822903900000000000e+07,5.269999999999999685e-02,1.163919168623120566e-02
1.822891300000000000e+07,4.551000000000000045e-01,5.148646042143061041e-02
1.822891700000000000e+07,3.653599999999999959e+00,3.768353447673304935e-01
1.822894900000000000e+07,7.170000000000000817e-01,9.102306960870450159e-02
1.822896700000000000e+07,2.240999999999999936e-01,3.308192972701280016e-02
1.822902300000000000e+07,3.950000000000000039e-02,5.468367233636275276e-03
1.822905300000000000e+07,9.799999999999999684e-03,2.575092569179661482e-03
1.822885900000000000e+07,5.078100000000000058e+00,3.063186077346970460e-01
1.822904500000000000e+07,1.319999999999999993e-02,2.022377431145346970e-03
1.822884700000000000e+07,8.649000000000000021e-01,2.157247429007784489e-01
1.822897700000000000e+07,1.449999999999999900e-01,1.946250959037366252e-02
1.822897300000000000e+07,6.230000000000000121e-02,1.664515510394827189e-02
